city,Id,Filter,Created_Time,Longitude,Latitude,Likes,Comments,color1,color2,color3,color4,color5
london,974859445836877069_177930674,Valencia,1430432323,-0.161222167,51.525241667,0,0,#b1a38b,#e4e8cf,#cfccb4,#856457,#616647
paris,974850292049123459_496654485,Hudson,1430431232,2.335358333,48.86013,2,0,#c3bab6,#3b2930,#837178,#5d5d6a,#7b5e50
london,974694512272108986_1652315026,Amaro,1430412662,-0.180434794,51.519226235,1,0,#392437,#cfb5a4,#a4a697,#926c65,#8c89a2
paris,974700570450364834_16421057,Ludwig,1430413384,2.335247691,48.858224723,2,0,#87593f,#1b1307,#dfd4c2,#e65a45,#b1a8a4
tokyo,974702535397357155_37280524,Normal,1430413618,139.769139435,35.682623238,0,0,#7d492a,#dba781,#180a0b,#b4a49c,#94848c
tokyo,974704070068024976_37280524,Normal,1430413801,139.769139435,35.682623238,0,0,#c0c6bb,#101715,#606255,#6f9f9b,#5c7598
rome,974699066735276634_262232635,Normal,1430413204,12.477347856,41.90179367,3,0,#aba39b,#644c2f,#eae9e3,#6c6062,#564e51
tehran,974691701812735141_452441130,Normal,1430412327,51.384809247,35.702925704,0,0,#7a6b79,#d9a6a1,#2d3c5f,#9aa2c1,#b9b6c9
seoul,974720923286192675_420411871,Normal,1430415810,127.001062954,37.558603355,2,0,#f3e9e3,#836846,#b77e74,#a8ac50,#9c9484
newyork,974702593842975780_6567660,Normal,1430413625,-74.041991667,40.736896667,14,0,#3a4344,#ca9e73,#ccc4b9,#728089,#9da7a4
paris,974705990047181895_797483402,Juno,1430414030,2.30326532,48.871029708,0,0,#895433,#1c130d,#ebddb9,#e6864e,#aea2ad
tokyo,974706198471271937_2090844120,Mayfair,1430414055,139.756853463,35.655475409,0,0,#8aadc9,#674f4c,#2c3b53,#d4d7de,#50526e
paris,974713995992822236_4114155,Perpetua,1430414984,2.305815102,48.848933609,0,0,#7c4eb4,#d0c8ed,#2b202c,#d363bf,#503162
london,974704074189783833_1624433407,Normal,1430413801,-0.117484194,51.50946425,0,0,#815c4e,#c7d5e5,#31313a,#d5c0a6,#a89997
tokyo,974709306197203935_224217485,Normal,1430414425,139.719483333,35.712516667,0,0,#27211f,#bfb9af,#776d67,#8c9896,#6b77a0
london,974708183052392628_710069,Normal,1430414291,-0.149285347,51.503768616,0,0,#b6ada9,#2b2a2e,#656265,#4f413c,#574d3f
london,974707336158943138_294268620,Valencia,1430414190,-0.16899648,51.49354069,13,1,#432d41,#d0c7b7,#937a78,#a2aba7,#9695ab
stockholm,974712939270711439_176848401,Normal,1430414858,18.035276581,59.362532872,1,0,#b9d8ef,#222b20,#6888b3,#93905b,#6f7b63
london,974664438579011999_17028399,Crema,1430409076,-0.11651691,51.502298351,0,0,#1b1724,#bfa16b,#715b4d,#789696,#80809a
london,974687283870715663_53678346,Normal,1430411800,-0.088834517,51.529379426,0,0,#d9cfc6,#1a1618,#614740,#4c4c4c,#bc8159
tokyo,974702213199312476_37280524,Normal,1430413580,139.769139435,35.682623238,0,0,#392a24,#c3a080,#6c99c2,#85664e,#8d958c
london,974679874832263868_269826625,Normal,1430410917,-0.142972167,51.518463333,4,0,#3e3c3b,#cccac6,#acb4b4,#988d84,#8e9aab
tokyo,974650348257231574_15281359,Normal,1430407397,139.723600253,35.736853493,2,1,#cec3c4,#2f2525,#7d4341,#8e6651,#776f6f
rome,974684891044221747_41902147,Willow,1430411515,12.481349818,41.888130492,1,0,#848083,#cdc5c6,#3a383b,#bcb8bc,#bcbcb4
tokyo,974658285903039134_4107321,Normal,1430408343,139.730987415,35.665684581,0,0,#484945,#cecbb3,#9e9883,#adbabb,#a2a7b1
london,974680825143674599_47286200,Normal,1430411030,-0.127011047,51.510880091,6,0,#a47f64,#ebd0aa,#4d3326,#663b29,#d4b8ad
berlin,974690407084679172_1702674311,Normal,1430412172,13.400907,52.500536,3,0,#9b8989,#2a4362,#8e2a22,#bb7d20,#e8e7c8
moscow,974678456890001733_282772529,Normal,1430410748,37.657345995,55.744077417,2,0,#324767,#f2f7f7,#75c6f0,#52a8ef,#7498a6
