city,url,Filter,Created_Time,Longitude,Latitude,Likes,Comments,color1,color2,color3,color4,color5
paris,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11084999_1593346750913253_944090966_n.jpg,Normal,1428084318,2.332411454,48.883782351,0,0,#c4bdbc,#27222a,#4c3e42,#635d62,#605346
paris,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11092979_388664951316315_1721415409_n.jpg,Normal,1428075551,2.304525318,48.87020998,0,1,#faf6f7,#150630,#ac426c,#5c4464,#ec8c7c
newyork,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11116714_622794031186824_693074500_n.jpg,Ludwig,1428082904,-74.034643419,40.728083223,0,0,#b18019,#eccc5c,#f5edcb,#6e4006,#53370b
rome,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s150x150/e15/10453964_415859621909171_348175929_n.jpg,Aden,1428083809,12.471803333,41.895845,2,0,#bea597,#2e262f,#623b33,#655b60,#653e4c
moscow,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/10956772_463771213781874_290650096_n.jpg,Crema,1428083815,37.645608333,55.75925,2,1,#c387ab,#2a1832,#895677,#a056a5,#a08c94
moscow,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11117061_488940974591486_1769423462_n.jpg,Normal,1428082548,37.6582326,55.7766824,0,0,#8b826f,#1c1513,#cecdc4,#543228,#dc8e98
moscow,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11078917_669163713189711_832044867_n.jpg,Normal,1428082922,37.659847504,55.754372229,12,0,#e6d2d0,#c1726e,#3b2d2d,#993d3c,#b05851
berlin,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11123918_860774887325112_1690256240_n.jpg,Normal,1428082718,13.37440818,52.508055505,4,0,#ebe9ea,#393638,#847c80,#9b97aa,#a4a4a6
london,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11055923_434036630106012_1128228607_n.jpg,Aden,1428083425,-0.130324901,51.517556596,0,0,#cdc8c3,#474240,#6f5e4f,#7b7d77,#6d6166
moscow,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11123704_915116081844678_237123856_n.jpg,Normal,1428082801,37.674007847,55.731117292,8,0,#211d21,#e4e2e1,#585457,#848084,#777474
paris,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11084956_1383906125267009_488504845_n.jpg,Normal,1428084117,2.335632353,48.848812733,4,0,#4b4c45,#f1eae4,#937464,#979e95,#7f777d
berlin,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11123703_423372707845697_2087068053_n.jpg,Normal,1428083516,13.402333333,52.524228333,5,1,#c09f82,#28404c,#7e7c67,#8aa6a5,#748494
seoul,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11005089_1503574636529884_2081554277_n.jpg,Normal,1428084121,127.030273903,37.55550266,0,0,#3c2237,#dd6b57,#864e5b,#7675a3,#9a99a0
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11055664_560398284101699_1849228271_n.jpg,X-Pro II,1428084280,-0.134099123,51.510157797,1,0,#e4b76c,#25244c,#84594b,#a6a181,#6c6999
seoul,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11017661_831374350249527_476431781_n.jpg,Normal,1428083684,126.986683699,37.571682637,2,1,#d7d5d3,#ca252a,#1b1f38,#d08937,#7f8289
tokyo,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s150x150/e15/924744_442025435957628_1407967310_n.jpg,Normal,1428083820,139.803303793,35.715695073,0,0,#26261c,#cac8bf,#737061,#949487,#8c8c8c
paris,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11111333_909657835722430_932250255_n.jpg,Normal,1428083272,2.308681401,48.859800897,0,0,#3f1a14,#d58e5b,#5bbe7c,#a05835,#b08874
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11138053_907131849330171_1704191563_n.jpg,Normal,1428083389,-0.1407173,51.5158428,0,0,#806c76,#e0ddbb,#212025,#d94c4e,#9996cf
paris,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11138021_1637738326447113_1781971514_n.jpg,Perpetua,1428082446,2.3317398,48.8741143,1,0,#434131,#cfd8ca,#8b856d,#b6a88c,#9da695
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11123766_361591070715811_217786354_n.jpg,Normal,1428075183,-0.1408445,51.493641667,1,0,#f6f4ec,#33302c,#9a9791,#7f7d74,#7c746f
newyork,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11116757_646992942112549_127525071_n.jpg,Valencia,1428076580,-74.035933333,40.750233333,0,0,#b7b3a9,#352342,#726571,#aa9146,#515672
paris,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11055799_1572885922960671_2132819313_n.jpg,Normal,1428072989,2.307337803,48.869846258,0,0,#aba29c,#080708,#626063,#4b3c3b,#65513e
rome,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11055515_813833081987476_53040057_n.jpg,Rise,1428075308,12.476609893,41.910258802,0,0,#49414a,#bbccd2,#95a8b7,#8d8a88,#a8a49b
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11098497_1562158210724657_1389447616_n.jpg,Normal,1428074171,-0.159798327,51.513221983,37,2,#afa09c,#221c1c,#5e5552,#5e3031,#5b4d36
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11117086_809733822430242_1397600252_n.jpg,Valencia,1428073221,-0.131587325,51.5124423,0,0,#f0be81,#76302e,#905138,#ae6550,#b86a25
newyork,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11093011_483882025096861_482361085_n.jpg,Normal,1428079904,-74.0547945,40.708216667,1,0,#684633,#ecd26f,#d66460,#af926f,#d8a5a5
london,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11111246_461380124025844_1420938868_n.jpg,Amaro,1428076242,-0.119469007,51.503425494,1,0,#bec6be,#2d1931,#57465a,#706975,#60605c
newyork,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11094457_1439505476342082_793130147_n.jpg,Ludwig,1428077177,-74.0424077,40.7658638,0,0,#8a5544,#d5d2ae,#342a1c,#db8454,#9facb6
moscow,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11116718_418097218360433_1409030524_n.jpg,Normal,1428077147,37.624866966,55.760186948,0,0,#665a41,#d8c59b,#191920,#76e7ee,#577fbb
tokyo,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11116593_1556669171259637_710489449_n.jpg,Normal,1428075311,139.716198219,35.70754558,0,0,#23052b,#c0948e,#773e49,#748464,#847494
london,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11078630_337649686431985_1642245524_n.jpg,Normal,1428078353,-0.149671575,51.518996364,0,0,#9f816b,#24272c,#c4c8d1,#6d2c14,#d8cab1
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11117109_1017073024987602_1954059473_n.jpg,Brannan,1428078929,-0.101324004,51.5086978,2,0,#ddd4b8,#351a2a,#7c7165,#a38671,#aa9097
tokyo,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11084718_1375197036142598_1530272957_n.jpg,Hefe,1428077785,139.7841264,35.7106015,1,0,#aa6e3f,#200f09,#d6bd88,#80250e,#d0a884
paris,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11093087_1648410832056446_2119001618_n.jpg,Normal,1428075043,2.331003923,48.844349837,2,0,#ba8f58,#30251b,#9f2116,#d1d2d6,#eee17a
rome,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11137966_677110482400856_1984259128_n.jpg,Ludwig,1428078010,12.468488019,41.890255282,0,0,#d8d9cd,#322a14,#cfb079,#ab8951,#7a5d3a
seoul,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11116938_853343261405694_84292954_n.jpg,Normal,1428077454,127.018577833,37.504575,3,2,#3b3129,#c2b19c,#80684c,#8c7ab4,#9894a4
seoul,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11116842_913206982074388_1151529479_n.jpg,Normal,1428076102,126.994421667,37.535453333,2,0,#29553c,#bb9c77,#7f6d55,#889c92,#849494
