city,Id,Filter,Created_Time,Longitude,Latitude,Likes,Comments,Average_Color
seoul,954261522379151088_577273812,Normal,1427976859,127.0116395,37.540907444,25,2,#806557
tokyo,954255229319309151_187232,Lo-fi,1427976109,139.7250497,35.672583283,0,0,#8a804b
tokyo,954298617371985429_8346696,Amaro,1427981281,139.769825,35.735886667,0,0,#947178
tokyo,954279613326997234_1486204140,Normal,1427979016,139.773003655,35.696562486,16,0,#886d6f
london,954402809612811588_343116742,Normal,1427993702,-0.164293264,51.504355737,7,0,#9c9490
tokyo,954227541961657965_1093490306,Dogpatch,1427972809,139.717918391,35.674978829,2,0,#7d6e63
berlin,954422395928839674_21715256,Normal,1427996037,13.404565882,52.520170091,0,0,#877585
london,954308067609584654_1806067600,Normal,1427982408,-0.157682025,51.548415993,0,0,#859cae
london,954302179081489392_1390350545,Normal,1427981706,-0.104798773,51.511430507,0,0,#6e6c6f
moscow,954424886406962265_1246302,Normal,1427996334,37.616398782,55.74751257,11,0,#8d8182
stockholm,954417383074181599_19226547,Mayfair,1427995439,17.96603,59.34507,1,0,#8f8170
seoul,954227487463157995_21652539,Amaro,1427972802,127.005658566,37.561107722,0,0,#7c7876
london,954292861153897626_269669410,Valencia,1427980595,-0.087553557,51.522067463,4,0,#ad9b8d
moscow,954423743872498280_41758581,Ludwig,1427996198,37.616398782,55.74751257,2,0,#68402d
london,954314462882673946_228297284,Perpetua,1427983170,-0.108778907,51.515321591,0,0,#7a7a5d
london,954412198637129636_13341074,Normal,1427994821,-0.089831557,51.507498442,0,0,#897364
london,954402675966130836_21927349,Lo-fi,1427993686,-0.132749105,51.514449766,4,1,#864d2e
tokyo,954327148623847881_176113863,Clarendon,1427984683,139.775958806,35.713886828,3,0,#976e96
seoul,954284153221863257_402691204,Normal,1427979557,126.970409855,37.544723493,0,0,#9e7262
london,954407158030985976_11120441,Normal,1427994220,-0.135974277,51.512835626,1,1,#998160
seoul,954267621937576140_1724084029,Aden,1427977586,127.038282,37.5260878,3,6,#a28e82
tokyo,954305420599813939_1343551336,Normal,1427982092,139.724013333,35.692603333,1,0,#857572
london,954525939231378549_17724626,Normal,1428008380,-0.173466667,51.494121667,2,0,#84817c
berlin,954538569618573327_1639845401,Normal,1428009886,13.38646184,52.511803875,1,1,#89765b
seoul,954542222992082195_40896,Normal,1428010321,126.956629113,37.541146016,0,0,#908477
seoul,954542751432443171_40896,Normal,1428010384,126.956629113,37.541146016,0,0,#a59a87
london,954519833001070793_19521539,Normal,1428007652,-0.135236249,51.525793512,0,0,#848482
moscow,954532789684041848_1478156309,Perpetua,1428009197,37.656788975,55.79063118,0,0,#a37769
london,954448255763926868_1638374914,Mayfair,1427999120,-0.158213833,51.524895,0,0,#796b78
seoul,954534209349786637_889064134,Amaro,1428009366,126.97757,37.58222,0,0,#939299
paris,954432351901377265_25033639,Rise,1427997224,2.281545367,48.868157374,5,0,#8e7457
moscow,954427618618607831_201046377,Normal,1427996660,37.630620846,55.7693724,42,0,#9e9ea0
moscow,954427485880910999_146239928,Aden,1427996644,37.621443141,55.762129816,7,0,#856b65
tokyo,954355530922044584_905618,Normal,1427988066,139.762750815,35.667599107,2,0,#87886c
london,954450361185869040_1312578718,Normal,1427999371,-0.177436667,51.501011667,0,0,#8a78a8
newyork,954566595967552588_23616634,Normal,1428013227,-74.022896206,40.768455528,0,0,#7b8180
london,954539845592700949_1311115149,Crema,1428010038,-0.155842877,51.521141128,0,0,#6e5655
rome,954566989099511992_177891483,Sierra,1428013274,12.476353333,41.910153333,0,0,#8c7f7d
rome,954567161560903868_177891483,Sierra,1428013294,12.476353333,41.910153333,0,0,#857671
paris,954542416778399359_243856954,Stinson,1428010345,2.325470719,48.882225474,1,0,#8b7367
london,954553038911673741_240171636,Normal,1428011611,-0.124102795,51.508033064,0,0,#69546b
tokyo,954553696975130277_1463083906,Normal,1428011689,139.78536417,35.6948793,1,0,#7c5a49
london,954384714310753035_1810850901,Normal,1427991545,-0.1477435,51.5639048,0,0,#989b9f
paris,954575192001013665_8891976,Ludwig,1428014252,2.294332357,48.878290916,2,0,#7f6456
london,954453686628626876_1520051003,Normal,1427999767,-0.11750897,51.513231825,0,0,#899797
paris,954567305352488233_9518880,Normal,1428013312,2.317816411,48.858793144,8,0,#847162
london,954573533365158653_9448599,Normal,1428014054,-0.135474582,51.510686156,4,2,#7a8282
london,954562266958953330_21551309,Rise,1428012711,-0.1257445,51.507725,0,0,#8a7367
london,954617383788729325_240937291,Crema,1428019281,-0.1107495,51.558146,1,0,#8e7d7c
rome,954589831566065179_16523198,Perpetua,1428015997,12.514811667,41.896253333,0,0,#9d7756
newyork,954606952107879444_6625138,Crema,1428018038,-74.066659715,40.765625252,0,0,#7a6552
moscow,954456640838856358_314283482,Normal,1428000119,37.630413662,55.762147635,1,0,#8c7e6c
